id,category,fit_score,skill_30,transition_20,compensation_15,access_15,lifestyle_10,upside_10,priority,verification,company,title,location,work_model,hiring_access,salary_status,compensation,link_quality,application_url,source_age_note,why_fit,key_gaps
C001,CORE,86,27,18,10,15,8,8,A,USER_BROWSER_LIVE,Xsolla,Finance Coordinator,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://jobs.lever.co/xsolla/1f631bc8-c9aa-418f-926b-0b14403c1dbb,"browser-confirmed by user 2026-08-20","Finance operations budgeting approvals reporting Procurement/PO coordination advanced Excel controls","Budgeting/forecasting depth; salary unknown"
C002,CORE,91,29,18,11,15,8,10,A,TOOL_SNAPSHOT,Technip Energies,Accounting Specialist,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/accounting-specialist-at-technip-energies-4440784273,"indexed recent-looking; browser check required","AP/AR supplier invoices payments reconciliations ERP closing reporting audit controls Excel process improvement","Broader GL/statutory scope; English; current browser status unknown"
C003,ADJACENT,90,29,19,10,15,8,9,A,TOOL_SNAPSHOT,ABB,Procurement reporting and analysis specialist,Baku Azerbaijan,Local,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/sat%C4%B1nalmalar-departamentinin-hesabatl%C4%B1q-v%C9%99-t%C9%99hlil-%C5%9F%C3%B6b%C9%99sinin-ki%C3%A7ik-m%C3%BCt%C9%99x%C9%99ssisi-m%C3%BCt%C9%99x%C9%99ssisi-at-abb-4436300158,"tool snapshot; browser check required","SAP/ERP procurement data KPI dashboards Excel/macros reporting automation audit support","Direct procurement title gap; salary and browser status unknown"
C004,CORE,89,29,19,10,15,8,8,A,TOOL_SNAPSHOT,Avis Azerbaijan,Accounting Specialist - Receivables,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/accounting-specialist-receivables-at-avis-azerbaijan-4413039806,"tool snapshot; browser check required","AR/AP SAP Excel reconciliation aging bank reconciliation audits discrepancy resolution","Receivables focus vs AP; salary and browser status unknown"
C005,ADJACENT,90,28,17,12,15,8,10,A,TOOL_SNAPSHOT,LeverX,SAP Functional Support Consultant,Azerbaijan,Remote/Hybrid,REMOTE_AZ_EXPLICIT,UNKNOWN,"Market-based compensation",EXACT,https://career.leverx.com/vacancies/sap-functional-support-consultant,"crawled about 1 month ago; browser check required","Direct SAP MDG customer/vendor support fit plus S4 master-data/process experience; Azerbaijan explicitly listed","Formal SAP consulting/support title and deeper module configuration experience"
C006,ADJACENT,85,28,17,10,15,7,8,A,TOOL_SNAPSHOT,Coca-Cola CCI,Master Data Responsible,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/master-data-responsible-at-coca-cola-cci-4309975643,"status conflict in tool data; browser check required","S4/MDG master-data creation maintenance standardization revisions data-quality controls","Customer/product rather than vendor master; sales-experience request; status unknown"
C007,CORE,85,26,17,11,15,7,9,A,TOOL_SNAPSHOT,DP World,MCV Management Accountant,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://ehpv.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/18281?utm_medium=jobshare,"reported deadline 2026-08-20; urgent browser check","Invoicing reconciliations corrective journals overdue control reporting stakeholder work","More AR/revenue and management-accounting scope; may already close today"
C008,CORE,84,26,16,11,15,7,9,A,TOOL_SNAPSHOT,OBA Market,Senior Finance Controller,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://classic.jobsearch.az/vacancies/oba-marketler-shebekesi-senior-finance-controller-146460/about-company,"tool snapshot says deadline 2026-08-21; browser check required","Finance controls analysis reporting Excel reconciliation and process discipline transfer well","Forecasting/controller depth likely broader than AP; salary unknown"
C009,ADJACENT,84,26,16,12,15,7,8,A,TOOL_SNAPSHOT,LeverX,SAP Functional Consultant,Azerbaijan,Remote,REMOTE_AZ_EXPLICIT,UNKNOWN,"Market-based compensation",EXACT,https://career.leverx.com/vacancies/sap-functional-consultant,"crawled about 2 weeks ago; browser check required","Azerbaijan explicitly listed; SAP FI/CO/MDG/MM options align with S4 and finance-process experience","Formal consultant/configuration/project experience gap"
C010,ADJACENT,78,25,15,10,15,6,7,B,TOOL_SNAPSHOT,Azerconnect Group,Finance Functional Consultant,Baku Azerbaijan,Hybrid,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://fa-emfh-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1007/jobs/preview/1669,"recent external copy says deadline 2026-08-21; browser check required","AP/AR/GL finance processes ERP requirements testing data migration support documentation","Oracle Fusion/EBS configuration and formal consulting experience"
