id,status,count_toward_100,category,fit_score,company,title,location,work_model,hiring_access,compensation,comp_confidence,deadline,discovered_at,last_verified_at,application_url,source_url,why_fit,key_gaps,workload_risk,next_action
001,QUALIFIED,YES,ADJACENT,92,Azercell,"Satınalma üzrə Analitik / Procurement Analyst",Baku Azerbaijan,Local/Hybrid,LOCAL_AZ,Unknown,LOW,2026-08-29,2026-08-19,2026-08-19,"https://careers.azercell.com/job/Baku-Sat%C4%B1nalma-%C3%BCzr%C9%99-Analitik-Procurement-Analyst/1367956857/","https://careera.az/job/-satnalma-zr-analitik","Very strong SAP + P2P + supplier reporting + KPI + process improvement + finance coordination overlap","Direct procurement ownership is less explicit in current CV; salary must be confirmed",LOW,"Priority: tailor CV around P2P/SAP/vendor/process analytics and verify salary"
002,QUALIFIED,YES,CORE,86,Xsolla,Finance Coordinator,Baku Azerbaijan,On-site,LOCAL_AZ,Unknown,LOW,,2026-08-19,2026-08-19,"https://jobs.lever.co/xsolla/","https://jobs.lever.co/xsolla/","Finance planning/budget control/reporting/Procurement-PO coordination/Excel/process controls match operational finance strengths","Formal budgeting/management-accounting depth may be lighter; salary unknown",MEDIUM,"Verify compensation; position AP-to-finance-operations progression in CV"
003,QUALIFIED,YES,STRETCH,74,Xsolla,"Delivery Manager, Self-Service",Baku eligible,Remote,REMOTE_AZ_EXPLICIT,"USD 30,000-80,000/year",HIGH,,2026-08-19,2026-08-19,"https://jobs.lever.co/xsolla/","https://jobs.lever.co/xsolla/","Strong transfer from process ownership, cross-functional coordination, escalation, documentation, KPI/status tracking and automation mindset","Requires 3+ years formal PM/program/delivery in tech; Jira/Confluence; fluent English",MEDIUM,"Keep as upside stretch; tailor around delivery ownership and process automation; assess English/Jira gap"
004,QUALIFIED,YES,ADJACENT,79,Unibank,"Maliyyə Effektivliyi Şöbəsinin Aparıcı / Baş Mütəxəssisi",Baku Azerbaijan,Local,LOCAL_AZ,Unknown,LOW,2026-09-04,2026-08-19,2026-08-19,"https://careers.unibank.az/","https://careers.unibank.az/","Large-data analysis, Excel, reconciliations, cost/control mindset, cross-functional finance work and automation transfer well","Needs stronger formal financial analysis, ABC/cost allocation, budgeting/forecasting exposure; salary unknown",MEDIUM,"Verify compensation and assess whether AP automation achievements can bridge financial-analysis gap"
005,QUALIFIED,YES,ADJACENT,90,ABB,"Procurement reporting and analysis specialist",Baku Azerbaijan,Local,LOCAL_AZ,Unknown,LOW,,2026-08-19,2026-08-19,"https://www.linkedin.com/jobs/","https://az.linkedin.com/jobs/view/sat%C4%B1nalmalar-departamentinin-hesabatl%C4%B1q-v%C9%99-t%C9%99hlil-%C5%9F%C3%B6b%C9%99sinin-ki%C3%A7ik-m%C3%BCt%C9%99x%C9%99ssisi-m%C3%BCt%C9%99x%C9%99ssisi-at-abb-4436300158","Procurement data checks, KPI dashboards, ERP/SAP, advanced Excel/macros, reporting automation and audit support are extremely close to current strengths","Direct procurement analytics title/experience not explicit; salary unknown",LOW,"Priority: locate/verify ABB employer application page and compensation; tailor CV around SAP/P2P/Excel automation"
006,QUALIFIED,YES,STRETCH,71,Bolt,Operations Manager,Baku Azerbaijan,On-site,LOCAL_AZ,Unknown,LOW,2026-08-20,2026-08-19,2026-08-19,"https://bolt.eu/en/careers/positions/ce0c7cb3-b4f0-495f-9fed-1daade980a06/","https://bolt.eu/en/careers/positions/ce0c7cb3-b4f0-495f-9fed-1daade980a06/","KPI/data analysis, operational ownership, stakeholder coordination, incident/escalation handling and Excel transfer well","Role asks 3-5+ years operations/program management and leadership; fluent English; direct mobility/safety operations gap; salary unknown",MEDIUM_HIGH,"Official Bolt page still active on 2026-08-19; treat aggregator 2026-08-20 deadline as urgent and verify before applying"
007,QUALIFIED,YES,ADJACENT,83,Bank of Baku,"Analitik təhlil bölməsinin aparıcı eksperti / Business Development",Baku Azerbaijan,Local,LOCAL_AZ,Unknown,LOW,2026-08-21,2026-08-19,2026-08-19,"https://careers.bankofbaku.com/","https://classic.jobsearch.az/vacancies/bank-of-baku-analitik-tehlil-bolmesinin-aparici-ekspertibiznesin-inkisafi-departamenti-146396?hl=en","KPI analysis, management reporting, operational/financial metrics, dashboards, data quality, cross-functional collection and advanced Excel map strongly to reporting/automation strengths","Medium SQL requested; business cases and strategic/business analysis are less direct; salary unknown",LOW_MEDIUM,"Urgent deadline; verify salary and employer-page application route, then tailor around KPI/reporting/data-quality/process improvement"
008,QUALIFIED,YES,ADJACENT,78,Azerconnect,"Finance Functional Consultant / ERP Maliyyə üzrə Funksional Konsultant",Baku Azerbaijan,Hybrid,LOCAL_AZ,Unknown,LOW,2026-08-21,2026-08-19,2026-08-19,"https://fa-emfh-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1007/jobs/preview/1669","https://builtin.com/job/finance-functional-consultant/10238049","Excellent domain overlap in AP/AR/GL finance processes, controls, master data, ERP, requirements, documentation, testing, issue resolution and cross-functional coordination","Major gap: hands-on Oracle Fusion/EBS configuration and formal functional-consultant/implementation experience; Jira and fluent English also requested",MEDIUM,"High-upside ERP transition; apply only with CV that frames S4/MDG process ownership, testing/change work and fast ERP learning; verify current Oracle requisition status"
009,QUALIFIED,YES,ADJACENT,84,INFUSE,"Data-Focused Project Coordinator (Remote, Contract)",Azerbaijan,Remote contract,REMOTE_AZ_EXPLICIT,Unknown,LOW,,2026-08-19,2026-08-19,"https://job-boards.greenhouse.io/infuse/jobs/4720132005","https://job-boards.greenhouse.io/infuse/jobs/4720132005","Strong analytical/data-quality/reporting/documentation/project-coordination fit; Russian requirement is covered; AI-workflow interest and automation mindset are strong advantages; employer application is live and explicitly contractor-based","BI-tool proficiency needs to be demonstrated beyond Excel/Power Query; project-coordinator title not in current CV; fast-paced environment; compensation must be proposed by candidate",MEDIUM,"Potentially excellent remote bridge: determine defensible USD contractor ask above target and tailor automation/data/project examples"
010,QUALIFIED,YES,CORE,88,Khazar Engineering & Fabrication,Accountant,Baku Azerbaijan,On-site,LOCAL_AZ,Unknown,LOW,2026-08-21,2026-08-19,2026-08-19,"https://smartjob.az/index.php/company/3806-khazar-engineering","https://classic.jobsearch.az/vacancies/khazar-engineering-accountant-146345?hl=en","Direct AP/AR match: supplier invoices vs PO, local/international payments, vendor/customer reconciliations, reporting, advanced Excel and intermediate English; role explicitly open to Azerbaijan citizens","Local tax/social/statistical reporting is broader than current multinational AP focus; title may understate seniority and salary target is unverified",LOW_MEDIUM,"Verify compensation before prioritizing; if viable, this requires very little CV stretching and should be a high-probability application"
